Index,Motivations,Motivation document,Technique
1,"knowledge sharing self-efficacy,altruism,trust,reciprocity,personal expected returns,identification,shared vision,social network ties,community-level expected returns",Online Knowledge-Sharing Motivators of Top Contributors in 30 Q&A Sites." (2018).,self-report
2,"fun,ideology,reputation,reciprocity,efficacy,attachment,structural capital","Contributor Motivation in Online Knowledge Sharing Communities with Reputation Management Systems."" ACM ACM, 2015:1-12.",self-report
3,"social learning,social comparison,normative influence,social facilitation,cooperation,competition,recognition,perceived persuasiveness",Towards Understanding Users' Motivation in a Q&A Social Network Using Social Influence and the Moderation by Culture." (2017):349-350.,self-report
4,"the sense of virtual community,trust",The relationship between the sense of virtual community and knowledge孟haring: The mediating role of trust." Human Behavior and Emerging Technologies 1.3(2019).,self-report
5,set Bounty,Bounties on technical Q&A sites: a case study of Stack Overflow bounties." Empirical Software Engineering 339(2019).,data driven
6,career concerns,What Makes Geeks Tick? A Study of Stack Overflow Careers.". ,data driven
7,badge awards,Modeling the effect of the badges gamification mechanism on personality traits of Stack Overflow users." Simulation Modelling Practice and Theory 105(2020):102157.,data driven
8,badge awards,One Size Does Not Fit All: A Study of Badge Behavior in Stack Overflow." (2020).,data driven
9,obtain reputation,"Understanding the social evolution of the Java community in Stack Overflow: A 10-year study of developer interactions,Future Generation Computer Systems,Volume 105,2020,Pages 446-454",data driven
10,"Reciprocity,virtual rewards,Prestige",Crowdsourcing as a business model: Extrinsic motivations for knowledge sharing in user-generated content websites." Journal of Global Operations and Strategic Sourcing 10.1(2017):90-111.,self-report
11,gratitude expressions,"Exploring the Effect of Politeness on User Contribution in Q&A sites: A Case Study of Stack Overflow,"" 2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD)), 2018, pp. 713-718, doi: 10.1109/CSCWD.2018.8465173.",data driven
12,badge,Stack Overflow Badges and User Behavior: An Econometric Approach,data driven
13,badge,"Can Gamification Motivate Voluntary Contributions? The Case of StackOverflow Q&A Community. In Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work & Social Computing (CSCW'15 Companion). Association for Computing Machinery, New York, NY, USA, 171每174. ",data driven
14,"entertainment,procrastination,getting information,generating ideas,reputation building,relationship development,helping,constructive feedback","Participation in an online mathematics community: Differentiating motivations to add."" CSCW '12 Computer Supported Cooperative Work, Seattle, WA, USA, February 11-15, 2012 2012.",data driven
15,"virtual rewards,certain badges,signal capability,improve future job prospects,earning reputation points,peer recognition,obtaining privileges
,provide support for my work,personal obligation,
Returning favor,improve skills,help others,fun,enjoyment","Empirical Study on Community-based Crowdsourced Contribution Quality and Collaboration Mechanism.2019.National University of Defense Technology,PhD dissertation.",self-report
16,"reputation,virtual tokens,enjoyment,desire to help,social needs","An Empirical Study of Financial Incentivized Question
Answering in Social Websites",data driven
17,"receive knowledge,self-efficacy,sense of community, the principles of social exchange,reciprocity,individual recognition","Knowledge fixation and accretion: Longitudinal analysis of a social
question-answering site",data driven
18,Reputation,"Understanding the factors for
fast answers in technical q&a websites, Empirical Software Engineering 23 (3) (2018) 1552每1593. doi:10.1007/s10664-017-9558-5.",data driven
19,Reputation,"Discovering
value from community activity on focused question answering sites:A case study of stack overflow, in: Proceedings of the 18th ACM SIGKDD International Conference on Knowledge Discovery and Data
Mining, KDD ＊12, ACM, New York, NY, USA, 2012, pp. 850每858.
doi:10.1145/2339530.2339665.",data driven
20,badge,"Steering user
behavior with badges, in: Proceedings of the 22Nd International Conference on World Wide Web, WWW ＊13, 2013, pp. 95每106.",data driven
21,Reputation,"How social q&a
sites are changing knowledge sharing in open source software communities, in: Proceedings of the 17th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing, CSCW ＊14,ACM, New York, NY, USA, 2014, pp. 342每354.",data driven
22,"Helping,Hobby/fun,Self-learning,Own needs,Skills & expertise,Better answer,Alternative solutions,Rewarding system,Tagging system",Studying Software Developer Expertise and Contributions in Stack Overflow and GitHub,self-report
23,obtaining related information,Topics of Example Questions and Discussion at the EarlyStage of Community Building for Health Q&A: A Case Study of Health Stack Exchange,data driven
24,"Rewards,gaining moderation privileges",Towards Improving Bug Tracking Systems with Game Mechanisms(C頗MSR),data driven
25,badge,Steering User Behavior with Badges,data driven
26,Virtual Badges,How do Virtual Badges Incentivize Voluntary Contributions to Online Communities?,data driven
27,reputation points,Understanding Sequential User Behavior in Social Computing: To Answer or to Vote?,data driven
28,online badge,The Goal-Gradient Hypothesis in Stack Overflow,data driven
29,badge,Harnessing Natural Experiments to Quantify the Causal Effect of Badges,data driven
30,"helping others,learning,reciprocity,reputation,privilege,badges",Motivation under Gamification: An Empirical Study of Developers＊ Motivations and Contributions in Stack Overflow,self-report
31,"reputation,Perceived self-worth,flow state",Gamification effects on users＊ motivation to contribute knowledge in a Portuguese Q&A community,self-report
32,reputation,"Why Stack Overflow Fails?
Preservation of Sustainability in Community Question",data driven
